K,train_years,tc_bps,threshold_pct,sharpe,sortino,calmar,cagr,max_dd,volatility
4,15,5.0,5.0,0.7159,0.9981,0.2351,0.0575,-0.2446,0.0831
4,15,15.0,0.0,0.6441,0.8968,0.2036,0.0514,-0.2527,0.0834
4,15,15.0,2.0,0.6533,0.9132,0.2075,0.0522,-0.2515,0.0833
4,15,15.0,5.0,0.6544,0.9093,0.2081,0.0521,-0.2504,0.0831
4,15,30.0,0.0,0.5498,0.7632,0.1652,0.0432,-0.2616,0.0834
4,15,30.0,2.0,0.5603,0.7809,0.1692,0.0441,-0.2603,0.0833
4,15,30.0,5.0,0.5616,0.7783,0.17,0.044,-0.2591,0.083
4,20,0.0,0.0,0.7293,1.0246,0.2464,0.06,-0.2437,0.0851
4,20,0.0,2.0,0.7374,1.04,0.2501,0.0607,-0.2427,0.085
4,20,0.0,5.0,0.7382,1.0348,0.2505,0.0606,-0.2417,0.0847
4,20,5.0,0.0,0.6994,0.9806,0.2324,0.0573,-0.2467,0.085
4,20,5.0,2.0,0.7079,0.9965,0.2362,0.058,-0.2456,0.0849
4,20,5.0,5.0,0.7089,0.9917,0.2367,0.0579,-0.2446,0.0846
4,20,15.0,0.0,0.6394,0.8932,0.2055,0.0519,-0.2527,0.085
4,20,15.0,2.0,0.6488,0.91,0.2095,0.0527,-0.2515,0.0848
4,20,15.0,5.0,0.6499,0.9059,0.2101,0.0526,-0.2504,0.0846
4,20,30.0,0.0,0.5488,0.7641,0.1676,0.0439,-0.2616,0.0849
4,20,30.0,2.0,0.5596,0.7823,0.1719,0.0447,-0.2603,0.0848
4,20,30.0,5.0,0.5609,0.7796,0.1726,0.0447,-0.2591,0.0845
