,portfolio_return,gross_return,tc_drag
2023-01-31,0.059559002488130834,0.059559002488130834,0.0
2023-02-28,-0.03097247187370951,-0.03097247187370951,0.0
2023-03-31,0.044602669341656305,0.045577887428182993,0.0009752180865266898
2023-04-28,0.007810495867038194,0.008302108884891392,0.0004916130178531981
2023-05-31,-0.01558109489901031,-0.015088805902806784,0.000492288996203526
2023-06-30,0.018729122896628522,0.019216506779627253,0.00048738388299873026
2023-07-31,0.01896287025708067,0.019436473748801125,0.00047360349172045506
2023-08-31,-0.01799498858056069,-0.017009062198007036,0.000985926382553653
2023-09-29,-0.04748217007783597,-0.046992613890836386,0.0004895561869995861
2023-10-31,-0.019951126955080528,-0.019463198750222552,0.00048792820485797503
2023-11-30,0.05890371669249305,0.0598820854833375,0.0009783687908444464
2023-12-29,0.04625061124536157,0.047225407832399834,0.000974796587038266
2024-01-31,-0.01128984062847602,-0.01031283918743292,0.0009770014410430995
2024-02-29,-0.0024748869626323687,-0.0024748869626323687,0.0
2024-03-29,0.02990941099522876,0.02990941099522876,0.0
2024-04-30,-0.023169593505645923,-0.023137167449479495,3.242605616642904e-05
2024-05-31,0.028921333986407803,0.029414462442193853,0.0004931284557860505
2024-06-28,0.011060347350872107,0.011556608999680735,0.0004962616488086285
2024-07-31,0.031307415166429355,0.031307415166429355,0.0
2024-08-30,0.01798231075403519,0.01798231075403519,0.0
2024-09-30,0.024881779696222694,0.024881779696222694,0.0
2024-10-31,-0.012608104863338255,-0.012608104863338255,0.0
2024-11-29,0.007704020804172318,0.007738846339236775,3.482553506445669e-05
2024-12-31,-0.029766696991553425,-0.029284612890269207,0.00048208410128421683
2025-01-31,0.02155522360416887,0.02155522360416887,0.0
2025-02-28,0.016896970307750284,0.016896970307750284,0.0
2025-03-31,-0.005216065205690805,-0.005216065205690805,0.0
2025-04-30,-0.004659037970599649,-0.004139120391923256,0.0005199175786763929
2025-05-30,0.03639839042717136,0.03639839042717136,0.0
2025-06-30,0.03898482207689518,0.03898482207689518,0.0
2025-07-31,-0.00411374689735499,-0.0031207702531541605,0.0009929766442008298
2025-08-29,0.015856589063739483,0.015856589063739483,0.0
2025-09-30,0.04957761293936254,0.04957761293936254,0.0
2025-10-31,0.017545188283252737,0.017581594668057598,3.640638480485971e-05
2025-11-28,0.01596388489019332,0.01596388489019332,0.0
2025-12-31,-0.0026896961909860335,-0.00170705617469438,0.0009826400162916535
2026-01-30,0.03180065907159537,0.03278250443235716,0.0009818453607617888
2026-02-27,0.04066356841425769,0.04069405151028272,3.0483096025033403e-05
